IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
8.210.175.109	2095	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	701 kB/s
47.242.79.71	8880	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	700 kB/s
47.76.94.15	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	621 kB/s
8.218.122.55	8080	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	599 kB/s
47.243.86.79	2052	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	573 kB/s
47.90.141.204	80	FALSE	LAX	North America	Los Angeles	248 ms	570 kB/s
47.242.176.237	8080	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	560 kB/s
8.218.211.17	8080	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	557 kB/s
8.210.207.214	8880	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	524 kB/s
47.76.159.146	8080	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	498 kB/s
47.76.146.1	2082	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	495 kB/s
47.76.94.15	2082	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	481 kB/s
47.245.102.52	8880	FALSE	SIN	Asia Pacific	Singapore	228 ms	479 kB/s
47.242.232.14	8080	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	394 kB/s
47.76.33.40	8080	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	388 kB/s
47.243.86.79	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	376 kB/s
47.76.146.1	2086	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	354 kB/s
47.76.146.1	2052	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	259 kB/s
47.243.86.79	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	229 kB/s
